2018-05-11 01:32:38:683  INFO : ------------START CT SCANMASTER KERNEL V1.0 2018 by CT ScanMasters-------------
2018-05-11 01:32:38:684  INFO : "SensorArrayManager: build"
2018-05-11 01:32:38:684  INFO : "SensorArray 0: build"
2018-05-11 01:32:38:684  INFO : "ADconverter 0: build"
2018-05-11 01:32:38:684  INFO : "SensorArray 1: build"
2018-05-11 01:32:38:684  INFO : "ADconverter 1: build"
2018-05-11 01:32:38:684  INFO : "SensorArray 2: build"
2018-05-11 01:32:38:685  INFO : "ADconverter 2: build"
2018-05-11 01:32:38:685  INFO : "SensorArray 3: build"
2018-05-11 01:32:38:685  INFO : "ADconverter 3: build"
2018-05-11 01:32:38:685  INFO : "SensorArray 4: build"
2018-05-11 01:32:38:685  INFO : "ADconverter 4: build"
2018-05-11 01:32:38:685  INFO : "SensorArray 5: build"
2018-05-11 01:32:38:685  INFO : "ADconverter 5: build"
2018-05-11 01:32:38:685  INFO : "SensorArray 6: build"
2018-05-11 01:32:38:686  INFO : "ADconverter 6: build"
2018-05-11 01:32:38:686  INFO : "SensorArray 7: build"
2018-05-11 01:32:38:686  INFO : "ADconverter 7: build"
